order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
1,4986,2025-06-13,329,3,18.95,56.85,Cancelled,
2,3716,2025-08-24,117,3,471.66,1414.98,Completed,2026-03-04
3,6109,2026-02-20,36,9,357.91,3221.19,Completed,2026-04-26
4,8808,2026-08-01,127,10,475.06,4750.60,Completed,2026-08-07
5,393,2025-11-14,485,8,484.05,3872.40,Cancelled,
6,4914,2024-12-27,150,7,64.72,453.04,Completed,2025-09-13
7,6370,2025-12-08,91,2,333.38,666.76,Completed,2026-05-18
8,9377,2025-05-29,183,9,314.58,2831.22,Completed,2025-07-10
9,7980,2025-03-13,138,10,92.19,921.90,Completed,2025-05-17
10,7241,2025-08-04,2,6,339.97,2039.82,Pending,
11,2648,2025-02-11,460,3,405.30,1215.90,Pending,
12,1541,2026-02-08,208,10,165.57,1655.70,Completed,2026-07-23
13,4697,2024-10-10,457,2,35.57,71.14,Completed,2025-08-13
14,4481,2024-10-12,342,8,124.36,994.88,Completed,2024-12-10
15,9680,2024-09-04,131,9,464.80,4183.20,Completed,2026-01-15
16,7369,2025-02-23,148,1,239.26,239.26,Completed,2025-07-04
17,9691,2024-12-28,415,3,78.15,234.45,Completed,2025-10-19
18,3955,2026-05-10,498,4,151.12,604.48,Completed,2026-05-13
19,2484,2026-06-23,218,6,285.13,1710.78,Cancelled,
20,485,2024-09-20,295,10,432.80,4328.00,Completed,2025-03-30
21,1910,2024-10-12,286,4,205.49,821.96,Completed,2026-01-18
22,7532,2026-02-22,64,10,187.92,1879.20,Completed,2026-06-08
23,6781,2025-11-12,223,2,455.27,910.54,Pending,
24,5136,2025-02-09,383,7,297.95,2085.65,Cancelled,
25,4553,2025-08-25,90,1,185.29,185.29,Completed,2025-10-29
26,2190,2025-04-26,349,4,431.76,1727.04,Completed,2026-02-21
27,8917,2025-02-15,21,2,374.77,749.54,Completed,2025-09-16
28,7172,2024-08-26,498,7,151.12,1057.84,Completed,2025-10-31
29,8000,2024-09-20,184,10,464.20,4642.00,Completed,2024-12-25
30,7772,2024-11-22,443,8,369.63,2957.04,Completed,2025-10-23
31,2454,2025-01-07,326,5,416.37,2081.85,Completed,2026-02-24
32,1971,2024-08-21,141,5,125.71,628.55,Pending,
33,2691,2026-02-15,109,4,227.78,911.12,Completed,2026-05-15
34,1027,2025-05-03,235,5,121.23,606.15,Completed,2026-08-10
35,5907,2026-01-11,223,5,455.27,2276.35,Completed,2026-08-06
36,6176,2025-08-23,417,1,346.80,346.80,Completed,2026-03-07
37,4036,2025-03-07,251,3,228.74,686.22,Completed,2025-05-14
38,9300,2025-02-04,300,6,227.62,1365.72,Completed,2026-03-01
39,5487,2026-01-20,183,10,314.58,3145.80,Completed,2026-07-02
40,2994,2025-03-23,249,8,12.81,102.48,Completed,2026-06-16
41,4305,2025-11-07,416,2,99.44,198.88,Completed,2025-11-30
42,432,2026-01-23,111,9,222.74,2004.66,Completed,2026-03-09
43,5481,2026-01-24,176,2,458.46,916.92,Completed,2026-03-18
44,4442,2025-05-05,400,5,146.45,732.25,Cancelled,
45,4192,2026-03-20,449,9,347.92,3131.28,Completed,2026-04-25
46,2959,2026-05-16,274,9,82.92,746.28,Completed,2026-05-16
47,4927,2024-08-14,241,4,34.97,139.88,Cancelled,
48,1084,2026-06-08,130,6,390.01,2340.06,Completed,2026-06-18
49,6125,2025-07-14,352,8,347.57,2780.56,Completed,2025-10-23
50,2439,2026-07-10,184,2,464.20,928.40,Completed,2026-08-08
51,8618,2025-05-01,265,8,484.36,3874.88,Completed,2025-10-10
52,3501,2024-12-29,33,3,367.29,1101.87,Completed,2025-01-06
53,4744,2025-03-30,8,10,404.53,4045.30,Completed,2025-08-01
54,7223,2025-02-13,254,7,450.14,3150.98,Completed,2026-07-24
55,3184,2026-08-06,27,9,385.46,3469.14,Completed,2026-08-06
56,980,2024-11-11,52,9,146.20,1315.80,Completed,2025-07-18
57,1406,2026-06-06,160,4,63.63,254.52,Completed,2026-07-17
58,1509,2025-01-22,481,2,471.09,942.18,Completed,2026-04-10
59,7887,2024-09-19,274,7,82.92,580.44,Completed,2025-01-03
60,243,2026-03-09,249,9,12.81,115.29,Pending,
61,7473,2026-02-01,50,1,206.17,206.17,Completed,2026-05-15
62,8594,2026-05-03,164,7,136.00,952.00,Completed,2026-06-14
63,7441,2026-01-09,430,1,125.02,125.02,Completed,2026-05-29
64,38,2024-12-29,74,7,418.12,2926.84,Completed,2025-07-19
65,4005,2025-05-08,474,2,107.01,214.02,Completed,2025-09-19
66,2937,2026-06-11,362,4,341.14,1364.56,Pending,
67,545,2026-05-10,28,3,229.59,688.77,Completed,2026-06-02
68,8229,2025-06-10,222,6,395.36,2372.16,Cancelled,
69,5491,2025-12-09,466,1,190.36,190.36,Completed,2026-07-31
70,2263,2024-08-17,87,5,176.12,880.60,Completed,2024-11-23
71,4740,2025-09-25,404,3,413.53,1240.59,Pending,
72,6699,2026-01-19,246,1,142.25,142.25,Completed,2026-02-07
73,4196,2025-09-22,164,10,136.00,1360.00,Completed,2025-10-01
74,1564,2026-07-28,441,7,426.27,2983.89,Completed,2026-08-04
75,3372,2025-04-25,435,9,324.72,2922.48,Completed,2025-07-03
76,2239,2025-11-10,143,1,110.00,110.00,Pending,
77,5235,2026-03-14,119,10,171.38,1713.80,Completed,2026-04-28
78,774,2025-11-14,191,7,432.69,3028.83,Completed,2025-11-28
79,1567,2025-05-30,492,10,457.65,4576.50,Completed,2026-08-08
80,1238,2025-09-12,59,4,467.68,1870.72,Completed,2026-02-16
81,3426,2024-09-25,115,10,417.28,4172.80,Completed,2025-05-16
82,2856,2025-12-22,187,3,496.17,1488.51,Completed,2026-01-20
83,3518,2025-06-18,82,4,156.07,624.28,Completed,2025-10-26
84,5498,2025-03-01,427,7,25.82,180.74,Completed,2026-02-05
